feature,mean_cluster0,mean_cluster1,difference_cluster1_minus_cluster0,cohens_d,abs_cohens_d,p_value,q_value
inverse_difference_moment_normalized_tissue_PostCon,0.13870133454427852,-0.2419017322706592,-0.3806030668149377,-0.38673324894633476,0.38673324894633476,6.474245457757525e-07,1.119240472926056e-06
WashinRate_map_Entropy_tumor,0.13867908633692091,-0.24186293033760228,-0.3805420166745232,-0.386669062428124,0.386669062428124,6.37041203526156e-07,1.1049009726732346e-06
Correlation1_tissue_PostCon,0.13690390374939265,-0.23876692737245286,-0.3756708311218455,-0.3815510640494829,0.3815510640494829,3.3897143258167026e-07,6.078504672396731e-07
Correlation2_tissue_PostCon,0.13690390374939265,-0.23876692737245286,-0.3756708311218455,-0.3815510640494829,0.3815510640494829,3.3897143258167026e-07,6.078504672396731e-07
PE_map_skewness_tumor,0.1368190712385218,-0.2386189754338504,-0.37543804667237224,-0.3813066540326333,0.3813066540326333,4.394462690930259e-10,9.767524216395408e-10
Mean_norm_DHOG_max_timepoint_binsize_6_without_filling_Tumor,0.13674790928127392,-0.23849486559174135,-0.3752427748730153,-0.38110164193183843,0.38110164193183843,2.590564358837248e-07,4.693179951455151e-07
Homogeneity2_tissue_T1,0.13601055838480677,-0.2372088905163588,-0.37321944890116554,-0.3789780248770916,0.3789780248770916,2.4214745450909143e-07,4.4019245166772975e-07
Mean_norm_DHOG_max_timepoint_binsize_10_with_filling_Tumor,0.1351517809220598,-0.23571114172716395,-0.3708629226492237,-0.3765061422566714,0.3765061422566714,3.499118896795216e-07,6.253492893259018e-07
MF_Tumor,0.13485706270249662,-0.2351971391180449,-0.3700542018205415,-0.3756581908541515,0.3756581908541515,4.085580737572603e-08,7.830696413680822e-08
Grouping_based_mean_of_washout_slope_3D_tumor_Group_1,0.134379466230241,-0.23436418812774168,-0.3687436543579827,-0.3742844559271212,0.3742844559271212,8.951484532463243e-11,2.086050800737029e-10
Mean_norm_DHOG_max_timepoint_binsize_8_with_filling_Tumor,0.13390174010672395,-0.23353101101946558,-0.36743275112618956,-0.37291082448186236,0.37291082448186236,4.767327825564317e-07,8.406388065745079e-07
"F1_DT_T1NFS (T11=0.2,T12=0.8)",-0.13262599984033363,0.23130605924534287,0.3639320590856765,0.36924494044034245,0.36924494044034245,9.384684245293343e-12,2.287787080995474e-11
inverse_difference_is_homom_tissue_T1,0.1313506644106705,-0.22908181352575832,-0.36043247793642885,-0.3655835645661351,0.3655835645661351,6.750287660453294e-07,1.1593838222012314e-06
Homogeneity1_tissue_T1,0.1313506644106705,-0.22908181352575832,-0.36043247793642885,-0.3655835645661351,0.3655835645661351,6.750287660453294e-07,1.1593838222012314e-06
WashinRate_map_sum_variance__tumor,-0.13130862612192146,0.22900849674835216,0.3603171228702736,0.3654629328419273,0.3654629328419273,8.327334407451394e-08,1.5511126413879532e-07
SER_map_Cluster_Shade_tissue_PostCon,-0.13085869700656105,0.2282237989459666,0.3590824959525276,0.36417205537750624,0.36417205537750624,1.1948146942979077e-05,1.927002967328028e-05
WashinRate_map_inverse_difference_normalized_tumor,0.13060735485418815,-0.2277854462635562,-0.35839280111774435,-0.36345111604265656,0.36345111604265656,5.384064329246655e-07,9.431026589971789e-07
Dissimilarity_Tumor,-0.13059274638771104,0.22775996840237703,0.35835271479008807,0.3634092176541843,0.3634092176541843,1.011800224668745e-06,1.7155202527236094e-06
SER_map_mean_tissue_PostCon,0.1304862948931325,-0.22757431192671296,-0.3580606068198454,-0.3631039182573795,0.3631039182573795,3.525859887947755e-07,6.280066938465866e-07
Ratio_Tissue_vol_enhancing_more_than_40percent_from_PostCon_to_Breast_Vol,0.1291808308822168,-0.22529752052672294,-0.35447835140893974,-0.3593617433872068,0.3593617433872068,1.6001058388444672e-07,2.918813754305942e-07
Mean_norm_DHOG_max_timepoint_binsize_6_with_filling_Tumor,0.12869532861871813,-0.2244507814600306,-0.35314611007874874,-0.35797089728947074,0.35797089728947074,1.316125202411355e-06,2.2243777382607245e-06
Grouping_based_mean_of_washin_slope_3D_tumor_Group_2,0.12637309140016995,-0.2204006891681536,-0.34677378056832353,-0.3513246909246804,0.3513246909246804,5.421189277777054e-09,1.1246310305662988e-08
Variance_of_RGH_values_Tumor,-0.12592551513816694,0.21962009485406506,0.345545609992232,0.35004494716045204,0.35004494716045204,2.9152983333369522e-05,4.6312096646704135e-05
Median_solidity_Tumor,-0.1254461307919993,0.21878402572652242,0.34423015651852173,0.34867468569084675,0.34867468569084675,4.075484870473507e-07,7.234669451276795e-07
PE_map_Cluster_Prominence_tissue_PostCon,-0.124349013999848,0.21687060179735404,0.34121961579720206,0.34554037649800917,0.34554037649800917,0.00014482268823421784,0.00022206145529246734
Grouping_based_mean_of_washout_slope_3D_tumor_Group_2,0.12415206906169692,-0.2165271204468881,-0.340679189508585,-0.344977976359536,0.344977976359536,1.7824882990045174e-08,3.531596667316066e-08
WashinRate_map_Autocorrelation_tumor,-0.1223434636116743,0.2133728264179788,0.3357162900296531,0.33981672421986275,0.33981672421986275,5.794583434900929e-07,1.0083337621916419e-06
Margin_Gradient_Tumor,0.12169764020254277,-0.21224647963895948,-0.33394411984150224,-0.33797521659931934,0.33797521659931934,7.316332789709788e-07,1.2525372316364006e-06
Inv_Diff_normalized_Tumor,0.12154914698517533,-0.21198750039676403,-0.33353664738193933,-0.3375519115482872,0.3375519115482872,4.344959119868137e-06,7.182760545032014e-06
WashinRate_map_sum_average_tumor,-0.12122792733161111,0.21142727802477596,0.33265520535638704,0.33663636085679693,0.33663636085679693,5.320694942314451e-07,9.350988785662275e-07
WashinRate_map_inverse_difference_normalized_tissue_PostCon,-0.12097785432409801,0.2109911387914174,0.3319689931155154,0.3359237271987725,0.3359237271987725,2.756514527113256e-06,4.599987964804141e-06
SER_map_kurtosis_tumor,0.12061562192502136,-0.2103593882382812,-0.33097501016330255,-0.3348916778381158,0.3348916778381158,9.389416279543107e-10,2.0356562343763536e-09
WashinRate_map_Correlation2_tissue_T1,0.11989076354967255,-0.209095200714608,-0.32898596426428056,-0.3328271837072308,0.3328271837072308,3.2920208613974424e-06,5.459181930028988e-06
WashinRate_map_Correlation1_tissue_T1,0.11989076354967255,-0.209095200714608,-0.32898596426428056,-0.3328271837072308,0.3328271837072308,3.2920208613974424e-06,5.459181930028988e-06
Grouping_based_mean_of_washout_slope_2D_tumorSlice_Group_1,0.1182516277837062,-0.20623646988467814,-0.3244880976683843,-0.32816224406875366,0.32816224406875366,2.4067125484954003e-08,4.697973941527922e-08
breastDensity_T1,0.11745111296759529,-0.20484033392562676,-0.32229144689322203,-0.32588576498946575,0.32588576498946575,1.4821150120770218e-06,2.496938985314473e-06
WashinRate_map_Dissimilarity_tissue_PostCon,0.11738278724571684,-0.20472117061306622,-0.32210395785878304,-0.3256915156920106,0.3256915156920106,4.960076502577427e-06,8.148697111377201e-06
SER_map_mean_tissue_T1,0.11689699915334309,-0.20387393304720028,-0.32077093220054337,-0.32431066579913065,0.32431066579913065,5.987754956561945e-06,9.746222683142365e-06
sum_entropy_tissue_T1,-0.11468778785755274,0.20002096334680464,0.3147087512043574,0.31803626706080323,0.31803626706080323,5.0688364905902326e-06,8.301592890161714e-06
Variance_of_Margin_Gradient_Tumor,0.11436018395736375,-0.1994496065446874,-0.31380979050205116,-0.3171065653322613,0.3171065653322613,1.5224268712462522e-06,2.5567105234579917e-06
globalMoransISERMap_Tumor,-0.11274825959849102,0.19663833370451145,0.30938659330300244,0.31253481636825714,0.31253481636825714,4.759034723834428e-06,7.842770619652374e-06
SER_map_Cluster_Prominence_tumor,-0.11199921569560987,0.19533196546912923,0.3073311811647391,0.31041189036048744,0.31041189036048744,4.0608202826490414e-05,6.393374790242093e-05
Entropy_tissue_T1,-0.10891788045856163,0.18995797008546833,0.29887585054403,0.30168876941726697,0.30168876941726697,1.9173288716288464e-05,3.073536282095939e-05
Ratio_Tissue_vol_enhancing_more_than_0percent_from_T1_to_Breast_Vol,0.10851526836835881,-0.18925579542814952,-0.2977710637965083,-0.30055015757320064,0.30055015757320064,1.0449516084234519e-05,1.6904568833517005e-05
BEVR_Tumor,-0.1073093710991441,0.18715265316695925,0.29446202426610335,0.2971413910611095,0.2971413910611095,2.1766398034735927e-05,3.478678114917011e-05
Grouping_based_mean_of_washout_slope_2D_tumorSlice_Group_2,0.10564826187748064,-0.18425559958393892,-0.28990386146141955,-0.29244970485584915,0.29244970485584915,9.346723564325722e-06,1.5166922593645114e-05
information_measure_correlation1_tissue_PostCon,0.1052879104420151,-0.18362712952089466,-0.2889150399629098,-0.29143249983248504,0.29143249983248504,0.0001075909186874193,0.00016545231391175817
Grouping_based_proportion_of_tumor_voxels_3D_tumor_Group_2,-0.10503626545032602,0.18318824867229422,0.28822451412262023,0.2907222750011388,0.2907222750011388,5.583832322445309e-05,8.636980405185873e-05
WashinRate_map_Cluster_Shade_tumor,0.10486230938038593,-0.18288486100269696,-0.2877471703830829,-0.290231372382544,0.290231372382544,4.939497357538173e-05,7.730751781472466e-05
Washout_rate_from_char_curv,0.10371727928078942,-0.18088787398375766,-0.28460515326454705,-0.2870012946757142,0.2870012946757142,2.633797543969458e-06,4.409110445442542e-06
Grouping_based_proportion_of_tumor_voxels_3D_tumor_Group_1,0.10167246975497864,-0.17732162879886143,-0.27899409855384005,-0.28123805049667794,0.28123805049667794,3.715364588277209e-05,5.866948857309384e-05
WashinRate_map_Energy_tumor,-0.10155154921560833,0.17711073762007845,0.2786622868356868,0.28089744019411067,0.28089744019411067,0.0004630708373547,0.0006785719472593804
Cluster_Prominence_Tumor,-0.09995326291951531,0.1743232502108223,0.27427651313033763,0.2763974525852034,0.2763974525852034,5.301865892525617e-05,8.273413147923455e-05
WashinRate_map_Contrast_tissue_T1,-0.09918875880955931,0.17298991863810073,0.27217867744766006,0.27424634223700756,0.27424634223700756,0.00018874458386039788,0.00028609136063653434
WashinRate_map_difference_entropy_tumor,-0.09904988840278078,0.17274772203579558,0.27179761043857636,0.2738556913963967,0.2738556913963967,5.327792568565428e-05,8.289418437562093e-05
WashinRate_map_inverse_difference_moment_normalized_tissue_T1,0.09752276133462112,-0.1700843397086816,-0.2676071010433027,-0.26956166789653324,0.26956166789653324,0.00023855213028610182,0.00035850590034473823
Median_Euler_No_Tumor,0.09696636567510403,-0.169113959183366,-0.26608032485847,-0.26799802559327196,0.26799802559327196,3.2654906227523635e-05,5.171989639029941e-05
Correlation2_Tumor,0.09641291372873316,-0.16814871263404246,-0.26456162636277564,-0.2664431011603894,0.2664431011603894,0.00031744855839180763,0.0004690790150538163
Correlation1_Tumor,0.09641291372873316,-0.16814871263404246,-0.26456162636277564,-0.2664431011603894,0.2664431011603894,0.00031744855839180763,0.0004690790150538163
Grouping_based_mean_of_peak_enhancement_slope_3D_tumor_Group_3,0.09536569574942616,-0.16632231461060668,-0.26168801036003286,-0.2635021449972686,0.2635021449972686,4.751248477990328e-05,7.458191231029328e-05
Entropy_tissue_PostCon,0.09488098208649848,-0.1654769509008571,-0.26035793298735554,-0.2621414282890786,0.2621414282890786,0.0002078478385084218,0.00031325215547280664
WashinRate_map_kurtosis_tumor,0.09394497320908624,-0.1638445068468008,-0.25778948005588703,-0.25951474877973185,0.25951474877973185,5.4166248315706e-05,8.402916527568466e-05
